,user,datetime,text,link,image,gif
0,raradiohead,2019-02-08T08:32:59.000Z,"レディオヘッド
Radiohead
Creep$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1093789777684422656$/i/status/846592007380250624$/raradiohead/status/1093789777684422656/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/846591568819605504/pu/img/nCK_qxt1GbQrRdrR.jpg$,blob:https://twitter.com/10b9a754-8ca2-461e-abc4-73e8f46f33ea$
1,raradiohead,2023-08-10T21:04:04.000Z,"Radiohead
Planet Telex$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1689744445506469888$/i/status/703613571301666816$/raradiohead/status/1689744445506469888/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/703613469489115137/pu/img/dDSdOd1eHT0Dvf48.jpg$,blob:https://twitter.com/19235a28-c214-4260-a7d1-7c6e9aa78333$
2,raradiohead,2023-08-10T15:04:15.000Z,"Radiohead
Street Spirit(Fade Out)$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1689653895705083904$/i/status/872655528370913280$/raradiohead/status/1689653895705083904/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/872654533129678848/pu/img/fc3cdr1RWmIGzZKN.jpg$,blob:https://twitter.com/b83d5aa8-25fb-43c9-8983-1616df4fcb88$
3,raradiohead,2023-08-10T09:04:44.000Z,"Radiohead
Everything in Its Right Place$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1689563420109287424$/i/status/810799908278046720$/raradiohead/status/1689563420109287424/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/810798913154232320/pu/img/PqIt5NzR9qLBlvlH.jpg$,blob:https://twitter.com/305d7198-1b3b-4864-9c60-db2e1f192a0e$
4,raradiohead,2023-08-10T03:05:49.000Z,"Atoms for peace(Thom Yorke)
Harrowdown Hill$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1689473096846315521$/i/status/873428070752854017$/raradiohead/status/1689473096846315521/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/873426476980330496/pu/img/6EjnHnD1RPXqCFeS.jpg$,blob:https://twitter.com/d1a048c5-181c-4c39-a68a-7feb7ea2f909$
5,raradiohead,2023-08-09T21:04:06.000Z,"Radiohead
Big Boots/1995(Man Of War)$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1689382065840476160$/i/status/905704747293749248$/raradiohead/status/1689382065840476160/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/905702229503492096/pu/img/ObuoEIGitVwIL47C.jpg$,blob:https://twitter.com/8e64f1da-17b3-49f3-bd4d-09cacf726e33$
6,raradiohead,2023-08-09T15:05:38.000Z,"Radiohead
The National Anthem$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1689291857396641793$/i/status/1367581730152931329$/raradiohead/status/1689291857396641793/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/1367581479404900354/pu/img/HpVvgvxYbL0JpU-C.jpg$,blob:https://twitter.com/b3a3f21e-0d36-4f6e-a955-dd690007de2f$
7,raradiohead,2023-08-09T09:04:42.000Z,"Radiohead 
Paranoid Android (Glastonbury 2003)$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1689201025339785217$/i/status/1356258961641463821$/raradiohead/status/1689201025339785217/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/1356258506010030087/pu/img/adzWTgk_fyA81BAM.jpg$,blob:https://twitter.com/dd6d1252-2bdf-4f14-9e00-934f77e4c458$
8,raradiohead,2023-08-08T05:03:17.000Z,"Impression..? (220,000)$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1688777879109427200$/raradiohead/status/1688777879109427200/photo/1$/raradiohead/status/1688777879109427200/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/media/F2--iA8bgAA5w8e?format=jpg&name=360x360$,$
9,raradiohead,2023-08-07T17:34:05.000Z,"Radiohead
Let Down$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1688604437038948352$/i/status/846595394888871936$/raradiohead/status/1688604437038948352/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/846594844449431552/pu/img/ijib54j9Xh1OHMEx.jpg$,blob:https://twitter.com/b9035a3e-8090-4527-ae10-ba6d349e3c19$
